id,prolific_id,XP_condition,age,education,employment,freq_cook,from,gender,living_in_UK,question1,question2,question3,question4,question5,question6,question7,question1,question17,question18,question19,question2,question22,question23,question24,question3,question4,question5,question6,question7,question8,question8_reversed,question10,question11,question12,question13,question14,question15,question16,question20,question21,question25,question26,question27,question9,food_val_state,food_val_trait,food_values,n_accepted_reco,n_queries,n_reco,n_seed_ingredients,queries,seed_ingredients,duration,free_text_about_cora,free_text_about_study
LtPN3AcH2kzFooGE0yu,5d39ddd133672b0015557242,NONE,18-29,udergrad,['full-time'],once_day,Poland,male,not_in_UK,1,1,2,2,4,4,2,5,5,5,5,6,4,2,1,6,6,4,6,5,1,5,3,5,3,6,5,4,3,5,5,2,5,6,5,"{'food_fillingness': -1, 'healthiness': 1}","{'comfort': 0.0, 'food_fillingness': 0.0, 'healthiness': 0.0}","{'food_fillingness': -0.5, 'healthiness': 1}",1,2,3,2,"['broccoli&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'spinach&maxReadyTime=21&excludeIngredients=broccoli&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5']","['broccoli', 'spinach']",0:08:19,Cora strangely seemed like a humanut it responded way too quickly for a human being.,
LtPN5YtyYTCi4yIM4Tc,5afc2ce459ae1e00017e4250,human,0,5,2,2,4,4,5
LtPND68U6o4ICIN2zQ9,59edc2c816ecc200016ff9cc,robot,18-29,udergrad,['unemployed'],once_w,United Kingdom,male,born_here,4,4,5,1,5,4,5,4,2,4,2,6,3,0,6,5,5,5,6,5,0,6,6,5,5,6,4,4,5,4,4,1,0,6,4,"{'food_fillingness': 1, 'healthiness': 1}","{'comfort': -0.08333333333333333, 'food_fillingness': -0.1, 'healthiness': 0.08}","{'food_fillingness': 0.45, 'healthiness': 1}",2,2,3,2,"['salmon&maxReadyTime=5000&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', '%20salad&maxReadyTime=5000&excludeIngredients=salmon&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5']","['salmon', '%20salad']",0:04:45,,
LtPNGmqY8xTz7eVmAbO,5bfff3be0ef039000138b699,NONE,18-29,graduate,['part-time'],once_day,the Netherlands,female,not_in_UK,3,1,2,2,5,5,4,1,0,1,1,3,1,3,1,0,4,3,4,1,6,0,0,0,0,6,0,1,0,1,0,4,3,6,6,"{'food_fillingness': 1, 'healthiness': 1}","{'comfort': -0.03333333333333333, 'food_fillingness': -0.04, 'healthiness': 0.04}","{'food_fillingness': 0.48, 'healthiness': 1}",2,1,5,1,['salmon&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['salmon'],0:07:21,"Yes, I would have liked something other than salmon (it's so expensive here) but she wasn't capable of giving me that/","I think it's a nice thing, this chatbot, but it's too limited right now."
LtPNPLosVT5NfyxiCWB,5c5c4f764ee81200018eaabe,human,18-29,udergrad,['student'],several_t_w,Portugal,female,not_in_UK,5,4,5,3,4,4,4,5,5,5,5,5,4,3,6,4,6,6,6,4,2,4,4,5,4,6,5,3,4,5,5,5,6,6,5,"{'food_fillingness': -1, 'healthiness': 1}","{'comfort': -0.016666666666666666, 'food_fillingness': -0.02, 'healthiness': 0.06}","{'food_fillingness': -0.51, 'healthiness': 1}",2,1,5,1,['broccoli&maxReadyTime=21&diet=vegan&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['broccoli'],0:10:19,,
LtPNVSxnLtTTj5_i1dK,5d77a8b3bedf45000187c499,robot,30-49,graduate,['full-time'],several_t_w,Portugal,male,not_in_UK,3,3,4,3,4,3,4,3,4,4,5,5,4,5,3,4,6,5,6,3,0,6,2,4,3,5,3,4,2,5,5,4,2,6,3,"{'food_fillingness': -1, 'healthiness': 1}","{'comfort': -0.03333333333333333, 'food_fillingness': -0.04, 'healthiness': 0.02}","{'food_fillingness': -0.52, 'healthiness': 1}",1,1,1,1,['broccoli&maxReadyTime=5000&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['broccoli'],0:07:02,,
LtPNcD_XYSNn0bwZa0K,5c6b031a18f539000128f7f9,robot,18-29,college,"['student', 'unemployed']",several_t_w,Poland,male,not_in_UK,2,5,3,3,4,5,3,4,4,5,4,5,3,6,3,4,5,5,6,6,0,6,4,5,2,6,4,3,2,3,4,6,3,6,3,"{'food_fillingness': 1, 'healthiness': 0}","{'comfort': 0.016666666666666666, 'food_fillingness': 0.02, 'healthiness': -0.06}","{'food_fillingness': 0.51, 'healthiness': 0.47}",0,1,5,1,['soup&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['soup'],0:07:25,No thanks,That was fun
LtPNh6L6hpTFtbdpWj1,5850ad3a1c68630001f52533,NONE,18-29,udergrad,['full-time'],once_w,UK,male,born_here,1,3,4,2,2,5,4,5,2,2,4,4,5,5,2,4,5,4,5,3,3,3,4,4,4,5,4,4,2,3,2,5,3,6,4,"{'food_fillingness': -1, 'healthiness': 1}","{'comfort': 0.016666666666666666, 'food_fillingness': 0.02, 'healthiness': 0.0}","{'food_fillingness': -0.49, 'healthiness': 1}",0,1,1,1,['broccoli&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['broccoli'],0:08:01,Asking for details about where I lived seemed a little intrusive.,Was fairly straight forward and I encountered no problems!
LtPNjZlpWWWSOIg8ItJ,5baa1f618e137f00016264c9,human,30-49,udergrad,['full-time'],several_t_w,Israel,female,not_in_UK,2,1,1,4,6,4,0,3,5,5,5,5,3,3,6,3,6,5,6,4,3,3,3,4,5,6,5,5,3,5,5,3,3,6,6,"{'food_fillingness': -1, 'healthiness': 0}","{'comfort': 0.03333333333333333, 'food_fillingness': 0.04, 'healthiness': -0.04}","{'food_fillingness': -0.48, 'healthiness': 0.48}",1,1,2,1,['onion&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['onion'],0:07:26,no,no
LtPNk8x8n75ndA63vPx,5b44a7f13f470b0001fad504,human,18-29,college,['full-time'],once_day,spain,male,less_5y,1,4,3,4,5,6,4,6,6,5,6,5,5,1,5,6,6,6,6,5,0,6,4,0,5,5,5,6,5,5,5,2,6,6,5,"{'food_fillingness': 0, 'healthiness': 1}","{'comfort': 0.016666666666666666, 'food_fillingness': 0.02, 'healthiness': -0.08}","{'food_fillingness': 0.01, 'healthiness': 0.96}",2,1,2,1,['carrot&maxReadyTime=21&intolerances=gluten&excludeIngredients=gluten&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['carrot'],0:05:55,,
LtPNkXcOrQzABbkpThf,5a18625a0fff620001a6d60e,robot,18-29,graduate,['full-time'],once_w,Mexico,female,less_5y,2,5,3,2,5,5,4,3,4,4,3,5,1,3,4,4,3,4,4,4,2,4,3,3,2,3,3,2,1,3,3,3,3,6,3,"{'food_fillingness': -1, 'healthiness': 1}","{'comfort': -0.03333333333333333, 'food_fillingness': -0.04, 'healthiness': -0.04}","{'food_fillingness': -0.52, 'healthiness': 0.98}",0,1,1,1,['broccoli&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['broccoli'],0:07:37,It would have been nice if she explained the reasoning behind the recipe. ,
