id,prolific_id,XP_condition,age,education,employment,freq_cook,from,gender,living_in_UK,fq1,fq2,fq3,fq4,fq5,fq6,fq7,q1,q17,q18,q19,q2,q22,q23,q24,q3,q4,q5,q6,q7,q8,q8_r,q10,q11,q12,q13,q14,q15,q16,q20,q21,q25,q26,q27,q9,food_val_state,food_val_trait,food_values,n_accepted_reco,n_queries,n_reco,n_seed_ingredients,queries,seed_ingredients,duration,free_text_about_cora,free_text_about_study
LtFc0hxcyIIe5B-SPoW,Lucile_dernier_test,human,18-29,PhD,['full-time'],once_day,France,female,1st_y,1,2,3,4,5,6,5,0,3,6,1,2,1,2,3,4,5,5,2,0,1,5,6,6,6,6,6,6,6,6,6,6,6,6,6,"{'comfort': -1, 'food_fillingness': 1, 'healthiness': 1}","{'comfort': 0.0, 'food_fillingness': 0.0, 'healthiness': -0.04}","{'comfort': -0.5, 'food_fillingness': 0.5, 'healthiness': 0.98}",3,3,5,3,"['salmon&maxReadyTime=61&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'Quorn&maxReadyTime=61&excludeIngredients=salmon&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'eggs%20&maxReadyTime=61&excludeIngredients=salmon&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5']","['salmon', 'Quorn', 'eggs%20']",0:06:13,nop ,good
LtFhgQPQiLcqR0tL5L-,robot
LtFiBiix3Of60iNdHFu,5c3285d953d7b1000193464b,NONE,18-29,udergrad,"['part-time', 'student']",once_day,United States of America,male,not_in_UK,0,1,0,3,0,5,4
LtFiFESE-2HW6e2Empy,5cbacd419bb663000137721c,human,50-69,udergrad,['full-time'],once_day,UK,female,born_here,2,2,3,2,2,3,3,3,3,3,3,0,0,0,1,1,2,1,1,0,0,6,6,0,0,4,3,5,0,3,3,4,0,6,0,"{'comfort': -1, 'food_fillingness': 1, 'healthiness': 1}","{'comfort': 0.0, 'food_fillingness': 0.0, 'healthiness': 0.02}","{'comfort': -0.5, 'food_fillingness': 0.5, 'healthiness': 1}",2,1,5,1,['%20salad&maxReadyTime=5000&diet=vegan&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['%20salad'],0:15:24,"interesting, but difficult to explain preferences.  It would be good if she asked you to view the recipe, because I didn't look at it, and maybe people will forget to look at the recipe as well.  Also, you could give substitutes for items that you don't like, e.g. I don't eat brussell sprouts, but maybe something else could be used instead of those, if it was recommended.  Did she know I said I didn't eat brussell sprouts?  Or does it just recognise a negative comment?  ",
LtFiQJ_inza7R579v6U,don't know,robot,18-29,college,['student'],once_w,Portugal,male,not_in_UK,3,5,5,4,5,5,4
LtFiWz8A76-Oko0q4f9,59c69ee26a287600011c38bc,NONE,18-29,college,['student'],once_day,Belgium,male,not_in_UK,3,4,3,2,4,5,4,2,4,4,3,5,2,2,2,2,4,1,5,3,4,2,2,4,2,5,5,2,4,4,4,4,5,6,4,"{'comfort': -1, 'food_fillingness': -1, 'healthiness': 1}","{'comfort': -0.016666666666666666, 'food_fillingness': -0.02, 'healthiness': 0.0}","{'comfort': -0.5083333333333333, 'food_fillingness': -0.51, 'healthiness': 1}",1,1,3,1,['spinach&maxReadyTime=5000&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['spinach'],0:13:54,"Cora gave me a recipe that I didn't really like at first. I told her and she gave me another. To that I said 'That appeals more to me, thanks', but she gave me yet another recipe as a reply to that.",
LtFiZYr1OB1E0HUqGr-,5a779dfa190420000155771a,human,30-49,graduate,['full-time'],once_day,Ireland,male,not_in_UK,2,2,3,3,3,4,3
LtFi_cI6aVge9O_A3YY,5d2b4ca2791add001a717145,robot,18-29,udergrad,['student'],several_t_w,Bangladesh,male,born_here,1,2,1,2,5,5,1,1,1,1,1,1,1,3,4,1,4,1,4,1,5,1,0,1,1,5,1,1,1,5,1,5,1,6,1,"{'comfort': 0, 'food_fillingness': -1, 'healthiness': -1}","{'comfort': 0.016666666666666666, 'food_fillingness': 0.02, 'healthiness': -0.04}","{'comfort': 0.008333333333333333, 'food_fillingness': -0.49, 'healthiness': -0.020000000000000018}",0,2,5,2,"['onion&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'mushrooms&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5']","['onion', 'mushrooms']",0:09:36,"It wasn't that good to be fair, she didn't really listen to me.",nope.
LtFiciDs2QL2OsiEXMt,5d4e9cec777d21000191ed23,NONE,18-29,udergrad,['student'],once_day,Portugal,male,not_in_UK,1,3,3,1,3,3,3,5,5,5,5,6,1,3,1,4,5,4,4,0,3,3,3,3,5,6,5,3,3,5,5,5,3,6,5,"{'comfort': -1, 'food_fillingness': -1, 'healthiness': 1}","{'comfort': -0.03333333333333333, 'food_fillingness': -0.04, 'healthiness': 0.0}","{'comfort': -0.5166666666666667, 'food_fillingness': -0.52, 'healthiness': 1}",0,1,1,1,['spinach&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5'],['spinach'],0:11:25,Cora its pretty bad at reading and pronouncing the words. I would be more engaged if I just had to read instead of listening to her.,
LtFidRia7mn0K5lyKff,5aa787c66219a30001c765f8,human,18-29,secondary,['full-time'],occasionnaly,Poland,male,not_in_UK,1,1,2,1,0,3,2,4,4,4,4,3,1,3,3,2,3,3,5,1,4,2,4,2,2,4,4,3,2,4,4,3,4,6,4,"{'comfort': -1, 'food_fillingness': 1, 'healthiness': 1}","{'comfort': 0.03333333333333333, 'food_fillingness': 0.04, 'healthiness': 0.02}","{'comfort': -0.48333333333333334, 'food_fillingness': 0.52, 'healthiness': 1}",1,4,3,3,"['salmon&maxReadyTime=21&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'Quorn&maxReadyTime=21&excludeIngredients=salmon&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'Quorn&maxReadyTime=21&excludeIngredients=salmon&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5', 'eggs%20&maxReadyTime=21&excludeIngredients=salmon&fillIngredients=true&addRecipeInformation=true&fillIngredients=true&addRecipeInformation=true&number=5']","['salmon', 'Quorn', 'eggs%20']",0:09:17,Cora didn't understand when I told her I didn't like fish and recommended me salmon once more. ,
