situation_name,food_number,food_name,like,tastiness,healthiness,calories,fatteningness,self_identity,connectedness,descriptive_norms,injunctive_norms,sweetness,saltiness,bitterness,sourness,savouriness,desire,mood_change_goal,energy_level_goal,weight_change_goal,visual_appeal,resisting_temptation,limiting_consumption,food_availability,food_convenience,food_affordability,consumption_frequency,consumption_habitualness,consumption_automaticity,food_fillingness,emotional_satisfaction,consumption_imagery,situational_transport,choice_conflict
Usual Dinner,138,cocktail,-1.933,-1.528,-1.712,0.54,1.109,-1.388,1.634,-1.617,-2.111,1.054,-0.814,1.112,1.407,-1.018,-2.368,-1.6,-2.003,0.976,-1.12,2.22,0.055,-1.619,-2.23,-2.851,-1.385,-1.464,-1.441,-1.089,-0.862,-1.815,-2.307,2.521
Usual Dinner,139,tiramisu,-0.89,-0.149,-1.554,1.615,1.293,-1.619,0.96,-1.502,-0.951,1.631,-0.907,0.262,-0.123,-1.002,-1.55,-1.192,-1.579,1.29,-0.007,0.855,-1.251,-1.911,-2.731,-1.514,-1.226,-1.535,-1.335,0.408,-0.986,-1.256,-1.633,2.445
Usual Dinner,140,fennel,-1.29,-2.185,0.801,-1.083,-1.298,-1.581,-1.906,-1.82,0.11,-0.972,-0.355,1.266,0.031,-0.1,-1.229,-1.874,-0.762,-0.812,-2.262,1.235,1.877,-2.071,-2.279,-0.881,-1.398,-1.409,-1.782,-1.508,-2.209,-2.254,-2.466,-0.514
Day time Snack,141,chocolate,1.107,1.713,-1.459,1.278,1.331,0.632,0.759,1.209,-0.312,1.968,-0.699,-0.709,-0.904,-1.157,1.536,1.604,1.769,1.712,1.375,-2.064,-1.995,1.007,1.259,0.129,2.163,0.588,1.413,-0.15,1.229,1.501,1.126,1.74
Day time Snack,142,crisps,1.502,1.634,-1.507,0.962,1.128,0.897,0.435,1.834,-0.384,-0.805,2.829,0.675,-0.116,1.326,0.867,0.716,0.326,1.166,1.255,-1.562,-1.537,0.692,1.082,0.449,1.683,-0.011,1.578,-0.316,1.298,1.909,0.801,0.954
Day time Snack,143,banana,0.336,0.254,1.468,-0.746,-0.977,1.267,-0.749,1.007,1.217,1.054,-1.132,-0.838,-0.698,-1.083,1.475,1.346,2.143,-1.234,-0.012,-0.902,1.19,0.651,1.166,1.317,1.186,0.478,1.648,0.181,0.829,0.294,0.977,-0.841
Day time Snack,144,apple,0.544,0.272,1.585,-1.071,-1.317,0.792,-0.756,1.094,1.131,0.831,-1.167,0.707,2.224,-1.238,0.386,1.568,1.105,-1.37,-0.185,-0.952,0.955,0.365,1.192,1.175,0.807,0.918,1.381,0.032,0.333,0.884,0.954,-1.196
Day time Snack,145,water,0.891,-0.232,1.471,-2.061,-1.715,1.802,-0.932,1.133,1.48,-0.895,-1.432,-1.566,-1.338,-0.65,1.58,0.981,1.909,-1.774,0.007,-1.707,1.001,1.893,1.721,2.1,3.73,2.266,2.831,-1.304,0.673,1.45,2.352,-2.105
Day time Snack,146,bread,1.039,0.316,-0.228,0.556,0.317,0.825,-0.774,0.59,-0.319,-0.427,0.016,-0.976,-0.514,0.199,-0.029,0.811,-0.199,1.112,0.817,-0.357,-0.035,1.34,0.487,0.777,0.574,0.489,1.282,1.131,0.273,0.907,0.746,0.049
Day time Snack,147,coffee,0.584,-0.162,-0.624,-1.035,-1.228,1.316,2.182,1.675,0.353,-0.247,-0.84,2.576,0.546,-0.7,-0.217,1.878,2.63,0.138,0.301,-1.953,-0.041,1.56,0.496,0.727,1.481,2.404,1.24,-0.951,-0.421,0.371,0.23,-0.557
Day time Snack,148,biscuit,1.227,1.297,-1.364,0.856,1.083,1.167,0.759,1.215,0.294,1.531,-0.275,-1.145,-0.896,-0.777,1.686,1.803,0.643,0.815,0.619,-2.214,-1.971,0.579,1.09,0.955,1.74,0.649,1.05,-0.271,0.958,1.177,0.991,0.797
Day time Snack,149,nuts,0.615,-0.122,0.926,0.101,0.136,0.494,-0.381,0.092,1.078,-0.433,1.641,0.036,-0.764,0.005,0.447,0.876,1.206,0.209,0.417,-0.403,-0.258,0.169,1.299,-0.596,0.605,0.225,0.438,-0.1,0.521,0.194,0.443,-0.301
Day time Snack,150,snack bar,0.376,0.705,-0.521,0.304,0.864,0.384,-0.752,1.001,0.815,1.321,-0.103,-0.789,-0.786,-0.588,-0.25,0.592,1.054,0.263,1.111,-0.603,0.29,0.532,1.015,-0.738,1.018,0.17,0.107,-0.216,0.416,0.425,0.393,-0.074
Day time Snack,151,tea,-0.147,0.771,-0.085,-1.582,-1.391,0.864,0.759,1.719,0.571,-0.275,-1.256,0.092,-0.55,-0.855,0.801,1.907,1.042,-0.8,-0.046,-1.543,0.073,1.423,1.086,1.531,2.26,1.909,1.194,-1.729,-0.779,1.265,0.95,-0.926
Day time Snack,152,yogurt,0.811,0.43,0.592,-0.487,-0.179,0.146,-0.734,0.508,1.026,1.042,-1.074,0.732,1.488,-0.882,0.032,-0.057,0.32,-0.687,0.002,0.295,-0.107,0.847,0.678,0.556,0.754,-0.05,1.117,-0.343,-0.182,-0.535,0.457,-0.77
Day time Snack,153,sandwich,0.959,1.1,-0.012,0.422,0.514,1.007,-0.153,1.357,-0.371,-0.644,0.634,-0.555,-0.219,0.799,0.485,0.762,0.599,0.928,0.86,-0.622,-0.237,0.906,0.322,0.286,0.627,-0.072,1.483,1.314,0.811,1.285,0.583,-0.093
Day time Snack,154,cheese,0.923,0.443,-0.364,0.848,0.839,0.555,-0.551,-0.297,-1.386,-0.821,1.177,0.117,0.23,0.915,-0.062,-0.044,-0.167,0.97,0.749,-0.169,-0.613,0.853,0.873,-0.383,0.838,0.225,0.484,-0.271,0.567,0.826,0.434,0.329
Day time Snack,155,cake,0.831,0.898,-1.554,1.594,1.443,0.229,1.155,0.338,-0.734,1.795,-0.871,-1.024,-1.036,-1.06,0.043,0.667,-0.376,1.48,1.274,-1.416,-1.709,0.223,0.447,-0.874,0.591,-0.787,0.35,0.85,0.742,1.2,0.76,1.522
Day time Snack,156,soft drink,0.48,0.74,-1.247,0.556,0.775,-0.45,-0.412,1.067,-0.562,1.767,-0.863,-0.862,0.9,-1.277,0.06,0.201,1.212,1.106,0.821,-1.105,0.209,1.043,0.726,0.215,0.393,0.242,1.581,-1.641,-0.334,0.236,0.506,0.707
Day time Snack,157,fruit juice,0.536,0.46,0.574,0.146,-0.119,-0.472,-0.957,-0.023,0.591,1.643,-0.946,1.12,2.401,-1.382,0.9,0.201,1.231,0.227,0.74,0.191,-0.237,0.609,0.793,-0.248,0.825,0.247,0.962,-0.625,0.544,0.872,-0.036,-0.419
Day time Snack,158,ice cream,-0.846,0.206,-1.558,1.16,1.494,-1.156,1.069,-1.086,-2.4,1.752,-0.999,-0.878,-0.786,-1.358,-1.08,-0.886,-0.806,1.356,-0.87,-0.004,-0.336,-0.573,-0.823,-0.226,-0.364,-1.563,-0.326,0.038,-0.619,-1.02,-0.466,1.986
Day time Snack,159,carrot,-1.066,-1.642,1.541,-1.554,-1.464,-0.736,-1.822,-0.593,0.551,-0.436,-1.017,-0.005,-0.013,-0.502,-1.196,-1.323,0.118,-1.382,-0.947,0.981,1.645,-0.3,0.069,1.04,-0.513,-1.089,-0.962,-0.94,-0.885,-0.334,-0.416,-1.016
Day time Snack,160,grapes,0.923,0.6,1.358,-0.836,-1.267,0.924,-0.103,0.322,0.69,1.166,-1.074,0.74,2.261,-1.172,1.044,0.478,0.548,-0.848,0.34,-0.261,-0.98,-0.187,0.842,-0.013,0.464,-0.143,0.878,-0.36,0.6,0.221,0.66,-1.191
Day time Snack,161,sweets (candies),0.176,0.627,-1.789,1.225,1.319,-0.019,0.84,0.93,-1.287,1.879,-0.704,-0.83,0.9,-1.374,0.485,0.85,0.852,1.623,1.072,-1.082,-1.537,0.443,0.793,-0.184,0.508,-0.017,0.709,-0.785,-0.058,0.633,0.746,1.579
Day time Snack,162,cookie,1.139,1.743,-1.624,1.193,1.23,0.384,0.698,0.755,0.156,1.882,-0.399,-1.024,-0.867,-1.079,1.215,1.121,0.206,1.635,1.342,-1.205,-1.851,0.449,0.962,-0.112,0.834,0.341,1.339,0.375,0.894,1.242,0.638,1.422
Day time Snack,163,milk,-0.431,-1.388,0.387,-1.01,-0.169,-1.156,-1.29,-0.818,0.024,-0.442,-1.044,-1.081,-0.683,-0.781,-1.284,-0.625,-0.357,0.483,-0.826,1.622,1.112,0.645,0.744,1.253,-0.298,-0.864,-0.466,-1.072,-1.621,-0.97,-0.33,-0.097
Day time Snack,164,orange,0.244,-0.074,1.453,-1.12,-1.282,-0.152,-0.907,0.366,0.703,1.011,-1.044,1.525,2.614,-1.095,0.131,-0.373,0.535,-0.978,-0.065,-0.273,0.14,0.55,0.047,0.805,0.481,0.132,0.441,-0.514,0.14,0.992,0.529,-0.902
Day time Snack,165,oatcake,-0.511,-1.09,0.457,-0.738,-0.268,-1.068,-1.17,-1.124,0.604,-0.213,-0.019,-0.741,-0.484,-0.797,-0.173,-1.042,-0.395,-0.379,-1.086,0.778,0.621,-0.675,0.189,0.357,-1.13,-0.869,-0.966,0.088,-0.375,-1.001,-0.661,-0.363
Day time Snack,166,fries/chips,-0.119,-0.035,-1.496,1.375,1.506,-0.963,0.645,-0.012,-2.506,-0.917,2.652,-0.005,-0.661,0.927,-1.08,-0.357,-0.161,1.201,0.171,-0.66,-0.493,-0.175,-0.911,-0.212,-0.298,-0.902,0.065,1.065,0.765,0.032,-0.579,2.601
Day time Snack,167,shake,-0.511,0.193,-0.422,0.771,0.924,-1.669,-0.029,-0.193,-0.055,1.609,-1.048,-0.377,-0.278,-0.948,-0.505,-0.902,0.067,0.233,-0.195,0.59,-0.267,-0.389,-1.049,-1.258,-0.689,-1.155,-1.173,0.032,-0.191,-0.346,-0.819,1.091
Day time Snack,168,breakfast cereal,-0.778,-0.683,-0.027,0.057,0.292,-0.847,-2.122,-1.387,-1.722,0.772,-0.364,-0.668,-0.911,-0.839,-0.355,-0.073,0.206,-0.111,-0.985,1.396,-0.333,-0.045,-0.343,0.727,-0.227,-0.325,-0.494,0.402,-0.697,-0.454,-1.249,0.248
Day time Snack,169,rice cake,-1.122,-1.108,0.841,-0.966,-1.041,-1.101,-1.575,-0.916,0.683,-0.508,0.29,-0.433,-0.734,-0.131,-0.643,-1.783,-0.775,-1.198,-0.369,0.479,0.703,-0.437,0.567,-0.198,-0.98,-0.842,-1.261,-1.138,-1.161,-0.812,-0.367,-0.074
Day time Snack,170,muffin,0.939,1.043,-1.437,1.347,1.249,-0.483,0.252,0.793,-0.095,1.69,-0.593,-1.299,-0.933,-0.77,0.707,-0.481,0.004,1.13,1.144,-1.124,-1.014,-0.074,0.797,-0.397,0.292,-0.704,0.688,0.176,0.526,0.849,0.642,1.309
Day time Snack,171,mango,-0.055,-0.057,1.424,-0.99,-1.142,-0.891,-1.318,-0.807,0.558,1.315,-0.946,-0.029,1.312,-1.068,0.17,-1.241,-0.117,-0.901,-0.181,0.747,0.413,-1.126,-0.823,-0.361,-0.778,-0.847,-1.448,-0.166,-0.402,-0.427,-0.747,-0.419
Day time Snack,172,energy drink,-2.647,-2.588,-1.521,0.88,1.099,-1.807,-1.083,0.097,-0.944,1.835,-0.315,0.23,0.421,-1.254,-1.981,-0.928,2.212,0.928,-1.737,1.622,1.127,-0.407,0.247,-1.073,-1.301,-1.48,-0.259,-1.332,-1.974,-2.119,-2.149,2.194
Day time Snack,173,dried fruit,-0.758,-0.801,0.589,-0.296,-0.173,-0.389,-0.904,-0.308,0.564,1.119,-0.695,-0.304,1.076,-1.242,-0.427,-0.021,0.649,-0.361,-0.923,0.042,0.043,-0.169,0.562,0.293,-0.007,-0.149,0.142,-0.647,-0.435,-0.307,-0.195,-0.528
Day time Snack,174,popcorn,-0.279,0.044,-0.811,-0.081,-0.055,-1.697,0.324,-1.245,-0.72,1.008,1.818,-0.425,-0.514,-0.193,-0.272,-0.837,-0.648,-0.206,0.629,0.548,-1.516,-0.496,-0.108,-0.589,-0.989,-1.001,-0.825,-0.382,-0.402,-0.65,-0.385,0.783
Day time Snack,175,celery,-2.216,-2.347,1.589,-1.838,-1.613,-1.355,-2.261,-1.442,-0.628,-1.019,-0.717,1.484,1.106,-0.146,-1.754,-1.715,-1.325,-1.365,-2.435,1.726,2.343,-1.18,-0.117,0.741,-1.464,-1.254,-1.645,-1.602,-2.577,-1.591,-1.76,-0.386
Day time Snack,176,coconut water,-2.444,-2.478,0.812,-1.16,-1.06,-1.967,-2.107,-1.694,0.38,0.106,-0.942,0.546,0.539,-1.006,-2.108,-2.237,-0.756,-0.99,-1.901,2.186,1.419,-2.196,-0.476,-1.293,-1.605,-1.7,-1.751,-1.878,-1.956,-2.069,-2.032,0.22
Day time Snack,177,scone,0.376,-0.779,-0.913,1.01,0.832,-0.615,-0.292,-0.494,-0.253,1.085,-0.077,-0.992,-0.918,-0.266,-0.034,-1.212,-1.218,1.076,1.033,0.23,-0.8,-0.573,-0.152,-0.639,-0.782,-1.227,-0.677,0.375,-0.274,0.001,-0.394,1.242
Evening Snack,178,chocolate,0.711,1.866,-1.445,1.225,1.449,0.4,0.772,1.083,-0.338,1.937,-0.734,-0.668,-0.801,-1.331,0.939,2.044,-0.319,1.623,1.655,-2.053,-2.588,0.365,1.49,0.044,1.978,1.326,1.599,0.06,1.712,1.578,1.398,1.072
Evening Snack,179,bread,0.755,0.202,-0.408,0.329,0.546,0.472,-0.428,0.623,-0.898,-0.384,0.131,-0.943,-0.41,0.117,-0.372,0.981,-0.382,1.1,0.08,-0.039,-0.237,0.752,0.212,1.011,0.521,0.473,0.558,1.175,-0.425,0.676,0.407,-0.164
Evening Snack,180,crisps,1.215,1.393,-1.529,0.893,1.207,0.858,1.103,1.505,-0.351,-0.848,2.749,0.295,-0.675,1.136,1.254,1.173,-0.395,1.284,0.884,-1.769,-2.179,0.223,1.357,0.25,1.366,1.238,0.857,-0.271,1.22,1.35,1.203,1.228
Evening Snack,181,banana,-0.283,-0.442,1.292,-0.957,-0.869,0.157,-0.984,-0.067,0.321,0.927,-1.233,-0.781,-0.683,-1.033,0.524,0.514,0.599,-1.133,-0.412,0.034,1.196,-0.496,0.629,0.862,-0.139,-0.011,0.864,0.264,-0.007,-0.604,-0.023,-0.765
Evening Snack,182,tea,-0.766,1.152,-0.115,-1.623,-1.346,-0.256,1.118,1.428,-0.892,-0.219,-1.229,0.157,-0.683,-0.812,0.203,1.229,0.054,-0.717,0.108,-0.695,0.23,1.269,0.789,1.104,0.6,1.623,1.209,-1.724,-0.867,0.915,-0.027,-0.149
Evening Snack,183,biscuit,0.623,1.104,-1.177,0.791,0.966,0.753,0.453,1.078,-0.18,1.569,-0.006,-0.967,-1.014,-0.987,0.862,1.685,-1.376,1.391,0.971,-1.508,-2.26,0.157,1.392,0.414,0.847,0.599,0.98,0.021,1.009,0.591,0.896,0.93
Evening Snack,184,apple,-0.275,-0.341,1.336,-1.148,-1.336,-0.157,-0.678,0.36,0.848,0.902,-1.048,0.594,1.68,-1.153,-0.117,0.227,0.573,-1.537,-0.417,-0.085,1.512,0.021,0.824,1.324,0.191,-0.143,0.339,-0.084,-0.288,-0.936,0.764,-0.983
Evening Snack,185,water,0.008,-0.823,1.46,-2.11,-1.724,1.515,-0.848,0.705,1.447,-0.901,-1.357,-1.582,-1.308,-0.479,1.426,1.079,0.693,-1.762,0.388,-1.289,0.546,1.815,1.801,1.673,2.968,2.332,2.109,-1.326,-0.494,0.352,1.968,-1.802
Evening Snack,186,nuts,0.496,-0.118,0.567,0.134,0.063,0.836,0.098,0.278,0.255,-0.315,1.721,0.295,-0.808,0.214,-0.206,0.566,0.542,0.518,0.33,-0.342,-0.685,0.05,1.627,-0.539,-0.117,0.605,-0.097,0.198,0.292,0.317,0.479,-0.064
Evening Snack,187,cheese,0.619,0.548,-0.51,0.921,0.985,0.963,-0.156,0.733,-1.096,-0.74,0.996,0.149,-0.123,1.109,0.021,0.524,-0.806,0.993,0.971,-0.553,-1.047,1.073,0.722,-0.084,1.084,1.023,0.624,0.292,1.34,0.895,1.28,0.423
Evening Snack,188,ice cream,-0.179,1.126,-1.565,1.075,1.44,-1.134,1.684,0.026,-1.089,1.838,-0.885,-1.121,-0.904,-1.184,-0.444,0.406,-1.085,1.486,0.34,-0.829,-1.116,-0.568,0.394,0.08,0.169,-0.913,0.656,0.402,0.471,0.14,0.077,1.631
Evening Snack,189,yogurt,-0.163,0.294,0.317,-0.264,-0.246,-0.439,-0.836,0.322,0.525,0.893,-0.911,0.667,1.4,-0.754,-0.593,-0.24,-0.186,-0.468,-0.306,0.349,-0.137,-0.556,0.997,0.343,-0.144,-0.237,0.656,-0.244,-0.83,-0.67,0.022,-0.59
Evening Snack,190,milk,-0.663,-1.335,0.303,-0.592,-0.223,-1.299,-0.842,-0.374,-0.055,-0.436,-1.052,-1.089,-0.278,-0.843,-1.24,-0.618,-1.895,0.102,-0.6,0.652,1.269,0.835,0.882,1.068,-0.39,-0.781,-0.209,-0.978,-0.812,-0.828,-0.53,-0.571
Evening Snack,191,sandwich,0.564,0.171,-0.269,0.341,0.371,-0.345,-0.53,0.426,-1.504,-0.721,0.661,-0.328,-0.307,0.632,-0.344,-0.132,-0.382,0.75,-0.017,0.111,0.296,0.045,-0.308,0.314,-0.183,-0.413,0.202,1.004,-0.085,-0.369,-0.249,0.172
Evening Snack,192,cake,0.607,0.854,-1.58,1.797,1.471,-0.637,1.532,0.508,-1.122,1.9,-0.598,-1.145,-0.896,-1.265,-0.245,0.938,-1.306,1.332,0.927,-1.243,-2.007,-0.33,0.908,-0.696,0.345,-0.303,0.705,1.037,0.742,0.753,0.289,1.744
Evening Snack,193,fruit juice,-0.782,0.232,0.526,0.106,-0.014,-1.018,-0.718,-0.116,0.235,1.587,-1.074,1.209,2.32,-1.351,-0.278,-0.279,0.282,-0.355,0.128,-0.096,0.669,0.532,1.073,-0.212,0.38,0.77,0.266,-0.746,-0.536,-0.269,-0.778,-0.093
Evening Snack,194,soft drink,-0.111,0.508,-1.382,0.783,0.854,0.113,-0.561,0.656,-0.635,1.733,-0.929,-0.628,0.399,-1.172,-0.383,-0.008,0.459,0.613,0.171,-0.561,-0.402,0.395,0.993,0.165,0.292,0.588,0.67,-1.354,-0.513,-0.199,0.606,0.722
Evening Snack,195,breakfast cereal,-1.038,-1.191,-0.159,-0.17,0.063,-0.902,-1.55,-1.02,-1.689,0.698,-0.399,-1.073,-0.278,-0.731,-0.764,-0.582,-0.965,-0.319,-1.347,0.866,0.124,-0.74,-0.01,0.898,-0.271,-0.182,0.255,0.955,-0.871,-0.573,-0.697,0.376
Evening Snack,196,grapes,0.544,0.342,1.061,-0.986,-1.13,0.025,-0.184,0.042,0.136,1.126,-0.986,0.473,1.952,-1.13,0.176,0.393,-0.041,-1.43,0.267,-0.165,-0.484,-0.585,0.66,-0.006,0.398,0.357,0.575,-0.139,-0.016,-0.627,0.235,-1.115
Evening Snack,197,cookie,0.484,1.7,-1.364,1.01,1.3,0.593,0.435,0.798,-0.635,1.801,-0.584,-1.186,-0.977,-1.238,0.718,1.209,-1.079,1.528,1.188,-1.539,-2.128,0.104,1.082,0.058,1.238,0.693,0.839,0.469,1.215,1.003,0.76,0.977
Evening Snack,198,fries/chips,-0.335,0.259,-1.646,1.071,1.5,-1.239,0.858,-0.768,-2.269,-0.91,2.608,0.068,-0.852,0.993,-0.781,-0.132,-0.42,1.368,0.161,-0.572,-1.104,0.11,-0.903,-0.326,-0.351,-0.902,-0.646,1.093,1.16,0.186,-0.625,2.104
Evening Snack,199,coffee,-1.182,-0.954,-0.888,-0.933,-1.155,-0.571,0.698,0.064,-1.682,-0.219,-1.057,2.682,0.495,-0.572,-1.4,-0.008,1.168,-0.189,-1.366,0.011,1.404,0.93,0.167,0.713,-0.192,0.374,-0.723,-1.569,-1.533,-0.728,-1.136,1.001
Evening Snack,200,beer,-1.377,-0.972,-1.782,0.657,1.268,-0.571,1.511,-0.292,-0.879,-0.315,-0.951,3.571,1.569,-0.595,-1.317,-0.7,-3.515,0.946,-1.173,1.073,0.317,0.098,0.544,-1.058,-0.826,-0.264,-0.649,-0.691,-0.747,-0.134,-0.701,1.588
Evening Snack,201,wine,-1.545,-1.309,-1.258,0.596,1.099,0.157,2.318,0.448,-0.378,0.196,-0.916,2.787,2.57,-0.634,-1.312,-0.037,-3.034,1.029,-0.686,1.572,0.329,-0.282,0.749,-1.99,-0.016,-0.006,-0.561,-1.669,-0.591,0.934,0.583,1.134
Evening Snack,202,carrot,-1.565,-1.594,1.263,-1.436,-1.505,-1.553,-1.578,-1.672,-0.345,-0.427,-0.867,-0.49,0.031,-0.371,-1.334,-1.555,-0.136,-1.507,-1.313,1.48,1.549,-0.49,-0.37,0.962,-0.733,-0.836,-1.388,-1.067,-1.529,-0.959,-1.005,-0.921
Evening Snack,203,popcorn,0.144,0.578,-0.628,0.008,0.072,-0.786,1.607,-0.111,-0.259,1.042,1.579,-0.895,-0.514,-0.243,0.723,-0.354,-1.477,0.043,0.802,0.302,-1.267,-0.692,0.18,-0.305,-0.632,-0.644,-0.343,-0.15,0.011,0.683,0.176,0.665
Evening Snack,204,strawberries,0.176,0.609,1.255,-1.043,-1.235,-0.488,0.296,-0.434,0.571,1.324,-0.933,0.101,1.113,-1.11,0.148,-0.168,0.181,-1.198,0.609,-0.185,-0.463,-0.787,0.5,-0.767,0.178,-0.638,0.058,-0.305,0.223,-0.269,0.154,-1.234
Evening Snack,205,snack bar,-0.347,0.316,-0.562,0.341,0.727,-0.163,-0.663,0.19,-0.312,1.352,0.347,-0.603,-0.631,-0.692,-0.261,0.005,0.118,0.928,0.142,0.065,0.197,-0.092,1.499,-0.212,0.072,-0.182,-0.195,-0.117,-0.108,-0.585,-0.018,-0.007
Evening Snack,206,crackers,0.32,-0.254,-0.016,-0.475,-0.15,0.66,-0.156,0.864,-0.45,-0.607,0.718,-0.595,-0.528,0.694,0.076,0.527,-0.351,0.168,0.373,-0.687,-0.517,-0.217,0.456,0.955,0.076,0.957,0.093,0.021,0.305,0.047,0.733,-0.59
Evening Snack,207,pizza,-0.043,0.425,-1.346,1.497,1.614,-0.72,1.733,-0.473,-2.275,-0.399,1.509,0.012,-0.477,1.361,-0.571,-0.393,-1.022,1.385,0.012,0.264,-1.387,0.146,-1.24,-0.689,-0.619,-0.468,-0.473,1.656,1.413,1.177,-0.638,1.782
Evening Snack,208,oats,-2.18,-2.238,0.259,-0.333,-0.602,-1.829,-1.912,-2.078,-1.696,-0.26,-0.73,-0.878,-0.646,-0.967,-1.859,-1.287,-0.541,-0.557,-2.257,1.618,1.44,-0.585,-1.218,1.083,-1.451,-1.073,-1.216,0.839,-1.616,-1.718,-1.362,-0.235
Evening Snack,209,eggs (only),-1.409,-2.027,0.123,-0.426,-0.561,-1.288,-1.838,-2.379,-1.966,-1.121,-0.456,-0.749,-1.066,0.4,-2.059,-1.336,-0.971,-0.284,-2.011,1.277,1.997,-0.199,-1.733,1.004,-1.059,-1.348,-1.617,0.607,-1.689,-2.223,-1.235,0.75
Evening Snack,210,smoothie,-1.078,-0.368,0.307,0.191,0.355,-1.437,-0.214,-0.889,-0.398,1.46,-0.951,-0.013,1.547,-1.32,-1.312,-1.199,-0.598,-0.533,-0.383,0.487,0.597,-0.835,-1.719,-0.802,-0.835,-0.891,-1.008,0.662,-0.504,-0.959,-1.403,0.916
Evening Snack,211,salmon,-2.024,-1.563,0.761,-0.613,-0.758,-1.272,-0.793,-2.461,-1.84,-0.975,0.502,0.222,-0.028,0.71,-1.666,-1.75,-1.155,-0.272,-2.132,1.595,1.488,-1.697,-2.434,-2.204,-1.372,-1.238,-1.297,0.833,-1.745,-1.437,-1.765,-0.808
Evening Snack,212,dates,-1.597,-2.014,0.585,-0.665,-0.487,-2.017,-0.929,-1.59,-0.213,1.129,-0.938,-0.247,0.222,-1.44,-1.638,-1.346,-0.768,-0.432,-1.905,1.645,0.992,-1.81,-0.357,-0.155,-1.293,-1.359,-1.74,-0.669,-1.598,-1.842,-1.493,0.177
Evening Snack,213,spirit/liquor,-1.869,-1.077,-1.829,0.592,0.606,-1.04,1.273,-0.648,-1.485,0.047,-0.871,2.714,1.231,-1.215,-1.815,-1.297,-3.465,1.13,-1.901,1.914,1.178,-0.348,0.163,-1.955,-0.905,-0.534,-0.709,-1.862,-0.366,0.363,0.095,1.872
Evening Snack,214,coconut,-2.683,-1.743,0.512,-0.706,-0.462,-1.973,-1.816,-2.401,-1.313,0.518,-1.088,-0.458,0.208,-1.165,-1.948,-1.773,-1.363,-0.86,-1.92,1.637,1.518,-2.018,-2.221,-0.994,-1.337,-1.629,-1.592,-0.84,-1.823,-2.215,-2.072,0.026
Evening Snack,215,mousse,-0.391,0.066,-1.496,0.223,0.998,-1.421,-0.218,0.114,-0.523,1.655,-0.863,-1.178,-0.742,-1.079,-0.892,-1.274,-1.718,0.833,0.243,0.418,-1.33,-1.085,-0.148,-0.475,-1.108,-0.781,-1.458,0.049,-0.127,-0.392,-0.819,0.859
Brunch Out,216,bread,1.766,0.578,0.057,0.17,0.355,1.614,0.123,0.831,-0.062,-0.489,0.25,-1.089,-0.742,0.419,0.933,1.506,0.269,0.987,0.956,-0.894,-0.535,1.186,0.815,0.713,0.442,1.727,1.525,0.905,0.816,0.918,1.529,-0.452
Brunch Out,217,coffee,0.576,0.565,-0.54,-1.091,-1.184,1.945,2.723,1.861,0.591,-0.226,-0.986,2.495,0.245,-0.634,-0.344,1.78,3.219,-0.266,0.894,-1.523,-0.58,1.637,0.5,0.514,0.746,3.196,1.518,-1.547,0.158,0.891,0.298,-0.898
Brunch Out,218,eggs (only),0.448,-0.617,0.53,-0.394,-0.411,0.157,-1.454,-0.741,0.031,-1.056,-0.262,-0.579,-1.095,0.381,-0.571,-0.341,0.168,-0.771,-0.715,0.606,0.709,0.294,-0.135,0.656,-0.571,0.203,-0.343,0.215,-0.159,-0.839,0.004,0.12
Brunch Out,219,sandwich,1.179,0.548,0.068,0.239,0.482,0.599,0.571,1.297,-0.615,-0.601,0.599,-0.725,-0.212,0.861,1.238,1.734,0.63,0.589,0.952,-0.384,0.055,0.972,0.882,0.371,0.323,0.577,0.712,0.601,0.65,0.618,0.764,-0.112
Brunch Out,220,tea,-0.231,0.99,0.153,-1.363,-1.365,1.04,1.171,2.014,0.69,-0.229,-1.132,0.003,-0.786,-0.777,1.282,0.951,1.035,-0.391,0.258,-0.837,-0.156,1.512,1.095,1.111,0.208,0.935,0.955,-2.42,-0.425,0.865,0.778,-0.737
Brunch Out,221,fruit juice,0.939,1.266,0.742,0.15,-0.026,0.676,0.113,0.996,1.427,1.705,-0.995,1.735,2.71,-1.405,1.188,1.154,1.073,0.067,1.096,-0.591,-0.86,1.168,1.117,0.393,0.257,1.755,0.853,-1.155,0.852,0.737,0.837,-0.471
Brunch Out,222,bacon,0.943,1.362,-0.719,1.018,0.88,1.669,0.243,0.53,0.597,-0.728,2.312,-0.409,-0.867,1.93,1.221,0.827,0.358,0.714,1.245,-0.48,-0.703,1.001,0.407,-0.511,0.12,1.744,0.762,0.513,0.921,1.115,0.597,0.528
Brunch Out,223,water,0.388,-0.481,1.508,-2.061,-1.718,1.493,-0.672,0.875,1.072,-1.041,-1.286,-1.469,-1.367,-0.599,1.636,1.144,1.959,-1.893,0.099,-1.259,0.684,1.821,1.481,1.73,1.969,2.008,2.014,-1.818,0.094,0.514,1.226,-1.641
Brunch Out,224,sausage,0.603,0.876,-0.825,0.913,1.061,1.355,-0.004,0.201,0.347,-1,1.354,-0.385,-0.653,1.473,0.795,0.286,-0.231,0.607,0.369,-0.142,-0.345,0.621,0.531,-0.24,0.019,1.007,0.568,1.082,1.16,0.564,0.905,0.182
