situation_name,food_number,food_name,like,tastiness,healthiness,calories,fatteningness,self_identity,connectedness,descriptive_norms,injunctive_norms,sweetness,saltiness,bitterness,sourness,savouriness,desire,mood_change_goal,energy_level_goal,weight_change_goal,visual_appeal,resisting_temptation,limiting_consumption,food_availability,food_convenience,food_affordability,consumption_frequency,consumption_habitualness,consumption_automaticity,food_fillingness,emotional_satisfaction,consumption_imagery,situational_transport,choice_conflict
Usual Lunch,75,grapes,0.248,0.298,1.211,-1.043,-1.282,-0.091,-0.18,-0.171,0.584,0.878,-1.198,0.432,1.82,-1.122,-0.339,-0.099,-0.028,-1.062,0.33,0.299,-0.646,-0.318,0.833,0.4,-0.395,-0.281,0.051,-1.127,0.066,-0.4,0.194,-1.182
Usual Lunch,76,sausage,0,0.403,-0.759,0.925,0.921,-0.411,-0.981,-0.314,-0.299,-1.013,1.504,-0.806,-0.97,1.492,0.314,-0.037,-0.566,0.578,0.277,0.598,-0.372,-0.175,-1.897,-0.468,-0.108,-0.726,-0.336,1.402,0.862,0.036,-0.692,0.371
Usual Lunch,77,curry dish,-0.778,-0.039,-0.25,1.1,0.877,-0.814,0.438,-1.305,-0.78,-0.604,1.164,0.473,0.664,1.43,-0.173,-0.886,-0.427,0.18,-0.879,0.905,-0.306,-0.912,-2.381,-0.326,-0.584,-1.205,-1.103,1.557,-0.55,-0.681,-1.326,1.153
Usual Lunch,78,side couscous,-0.651,-0.994,0.369,-0.329,-0.7,-1.559,-1.553,-1.349,-0.207,-0.734,0.44,0.287,-0.006,0.64,-0.704,-1.454,-0.363,-0.818,0.176,1.626,0.395,-2.101,-1.44,-0.148,-0.852,-1.21,-1.198,0.005,-0.467,-1.271,-0.824,-0.164
Usual Lunch,79,olives,-1.353,-1.313,0.497,-0.6,-0.799,-0.681,-0.474,-1.519,0.123,-0.951,1.27,2.657,1.628,0.489,-2.009,-0.977,-0.129,0.013,-0.831,0.502,0.594,-1.037,-0.787,-0.81,-0.852,-0.88,-1.42,-0.962,-1.928,-0.639,-1.086,-0.339
Usual Lunch,80,cod,-0.391,-0.227,0.775,-0.791,-0.694,-0.731,-0.097,-1.086,-0.035,-1.096,0.709,-0.037,0.053,0.931,-0.676,-1.682,0.231,-0.889,-1.66,1.369,1.16,-1.578,-2.611,-1.656,-0.998,-1.111,-1.022,0.822,-0.43,-1.098,-1.154,-0.609
Usual Lunch,81,wine,-2.284,-2.29,-1.47,0.876,1.185,-1.161,0.574,-1.754,-3.013,0.153,-0.836,2.455,2.99,-0.89,-2.927,-1.581,-2.616,0.815,-1.997,2.209,1.774,-0.663,-0.716,-2.275,-1.332,-1.541,-1.638,-1.702,-2.315,-1.275,-1.746,3.094
Usual Lunch,82,nachos,-0.758,0.281,-1.181,0.921,1.08,-1.128,0.401,-1.513,-0.865,-0.47,2.052,0.214,0.362,0.946,-0.615,-1.209,-0.882,1.047,0.431,0.985,-1.131,-0.764,-1.471,-0.724,-1.112,-1.232,-1.212,0.231,0.278,-0.793,-1.299,1.375
Usual Lunch,83,split peas,-1.613,-2.032,0.706,-0.905,-1.247,-1.432,-1.618,-1.65,-0.622,-0.703,-0.218,0.214,-0.359,0.276,-1.417,-1.643,-0.376,-0.759,-1.592,1.967,1.756,-1.382,-2.523,0.691,-1.143,-1.535,-1.698,-0.647,-1.947,-1.795,-2.063,-0.656
Usual Lunch,84,potato bake,0.048,-0.363,-0.063,0.645,0.861,-0.792,0.014,-0.27,-0.338,-0.641,0.988,-0.709,-0.698,1.12,0.192,-0.768,0.383,0.797,-0.036,-0.123,-0.11,-1.162,-2.265,0.442,-0.813,-1.1,-0.273,1.463,0.719,-0.357,-0.76,0.12
Usual Lunch,85,casserole,-0.846,-0.88,0.46,0.499,0.219,-0.665,-0.446,-1.092,-0.556,-1,0.904,-0.474,-0.44,1.605,-0.565,-0.687,0.25,0.31,-0.489,1.511,-0.038,-1.714,-3.193,-0.169,-1.275,-1.21,-1.166,1.407,0.122,-1.032,-1.579,-0.131
Usual Dinner,86,pasta dish,1.682,2.505,0.38,1.242,0.549,1.68,1.387,1.587,0.867,-0.402,0.807,0.003,-0.514,1.101,1.946,2.155,-0.091,0.144,2.064,-1.849,-1.486,0.651,0.385,0.634,2.317,2.36,2.232,1.816,2.319,1.778,1.452,-0.505
Usual Dinner,87,chicken,1.686,1.739,0.808,-0.418,-0.564,1.774,1.944,1.675,1.21,-0.7,0.559,-0.401,-0.528,1.655,1.741,2.142,1.314,-0.396,1.64,-1.297,-1.2,1.429,0.482,-0.027,2.277,1.975,2.521,1.557,1.551,1.959,2.126,-0.396
Usual Dinner,88,pizza,1.734,1.901,-1.206,1.818,1.373,1.024,2.417,1.226,-0.002,-0.201,1.323,-0.28,-0.455,1.442,1.553,1.408,-0.667,1.172,1.602,-1.462,-2.248,0.627,0.682,-0.447,1.533,0.808,1.047,1.584,2.167,2.237,1.601,0.736
Usual Dinner,89,side rice,1.103,0.355,0.493,-0.462,-0.278,0.825,0.126,0.848,0.584,-0.907,0.184,-0.66,-0.83,0.443,1.376,0.723,0.738,0.447,1.284,-1.044,0.356,0.134,-0.002,1.097,0.913,0.963,0.726,0.187,0.305,0.857,0.47,-0.817
Usual Dinner,90,side potatoes,1.73,0.819,-0.199,0.365,0.19,0.775,0.766,1.357,0.472,-0.814,0.484,-0.692,-1.029,1.027,1.509,1.01,0.143,0.465,1.048,-1.393,-0.92,0.3,-0.308,0.955,1.903,0.786,1.321,0.253,1.174,0.421,1.072,-0.443
