,prolific_id_NONE,prolific_id_robot,prolific_id_human,question_NONE,question_robot,question_human,score_NONE,score_robot,score_human,average_over_questions_NONE,average_over_questions_robot,average_over_questions_human
0,5cd168e9f651de0015a062d2,5b7c89c4db11320001c43c05,5c955419bd4bd9001995fa47,q17,q17,q17,5.0,4.0,3.0,5.0,3.4,2.6
1,5ce16d99dd4e16001971d693,5c5d09991bca630001ea7cb5,5cf91e3f1756e60017a30568,q17,q17,q17,6.0,6.0,1.0,4.8,6.0,0.4
2,5c486433929dc500011c908a,5d7d75f4ea2fe40001dff5a4,591a1f4800a5650001276188,q17,q17,q17,5.0,5.0,4.0,5.2,5.4,4.0
3,59ba957d3a9ab60001118fc2,5c56550e54f9d30001db7f50,5c4a45dda8c31a000141a752,q17,q17,q17,4.0,1.0,1.0,3.8,3.6,1.2
4,5d6bbd83a9d20a0001de4c75,598c282ccceb0f0001b39660,5c314de6d5fc960001d2cb93,q17,q17,q17,4.0,0.0,6.0,4.8,0.0,6.0
5,5dae25fc2e361800135fbd02,57f697c6733f560001b5898b,5b58be8a51ac08000194fcd4,q17,q17,q17,3.0,2.0,4.0,3.4,2.8,2.6
6,5d3067ad3c028b001782ab68,5b213220809d160001a2c36d,5c9aa9ba39138e00169a4eb6,q17,q17,q17,5.0,3.0,4.0,5.0,3.0,4.0
7,5b212164cfbf200001cfb3ad,5d07da55ac77d8001580abb4,5aad8499e1546900019aef29,q17,q17,q17,3.0,4.0,5.0,3.2,3.2,5.6
8,5c4d7aa4d3a5e30001834302,5d20e2135278fa00014814c0,5d6048d1a57d77001e8950e1,q17,q17,q17,3.0,0.0,4.0,2.6,0.8,4.2
9,5bafd12a70f8df0001be84a7,5d851419d126db0001cf0396,5db06d09b3844500159a0619,q17,q17,q17,6.0,0.0,1.0,6.0,1.2,1.8
10,5d820531b677580001847761,5c741cdd2af891001707e1e8,5dcab789be3c0f79130c7319,q17,q17,q17,6.0,5.0,6.0,6.0,5.0,6.0
11,5d84e6c5e1adea00016d2a45,5d9c8a8033801b00145a6803,5cb08b95600ba8001213,q17,q17,q17,4.0,6.0,4.0,3.4,6.0,4.2
12,5c59b060c16a6a0001c09337,5be2e7e491deed00015adcb0,5d6e3252dfe6d10001dbe508,q17,q17,q17,6.0,2.0,4.0,6.0,1.8,3.6
13,5d0a5e869b4ee500013d5575,597b0c6ed573480001404b95,5cf9a6420a472100181f587b,q17,q17,q17,2.0,2.0,4.0,3.8,1.2,4.6
14,5cbcd05c56524100013b19c0,5d20d449ebebd10001cb2740,5c6ae4c31b9d0e000190bacc,q17,q17,q17,0.0,5.0,3.0,0.0,5.0,5.0
15,5d8896bd68b5810019745311,5b745e5224dc7900017e0d3e,5d9f841f22ef1f0014f46a8e,q17,q17,q17,4.0,5.0,0.0,4.0,4.2,0.0
16,5c976a80bfb5690001eeeb84,5d540a99a620c10016640923,5a81a392190420000155d6df,q17,q17,q17,6.0,6.0,5.0,6.0,6.0,4.6
17,5d8125f63d05eb0001731115,5d7b411b16c9af0001b42540,5c1ac1c637dd01000114e36a,q17,q17,q17,5.0,6.0,3.0,5.8,5.2,3.2
18,592f1045bb4ce30001bd4fba,5728fa200802f2000f3ef195,5d5f97f4eea49d0019483080,q17,q17,q17,4.0,6.0,0.0,4.4,5.8,0.0
19,5d7df958cb6cf00001399929,5d83908c167afc00192098da,5d6c16f881a8ae00014d49d2,q17,q17,q17,4.0,5.0,4.0,4.0,4.8,4.2
20,5d893d3fc993870001ccd14e,5d697ea28572fc000126b779,5d7d78aeb7d4db001acb0da0,q17,q17,q17,5.0,5.0,3.0,5.0,4.6,3.8
21,5db29ce254945b003c8ef699,5b94df0a1aea7c00010a9668,5c51dd37c91d1100017760b8,q17,q17,q17,6.0,0.0,5.0,6.0,0.0,5.8
22,5c84014bd34170000141b8d6,5d4043f25458cb0001d164a0,5c82f678a4c44a001484dc00,q17,q17,q17,3.0,5.0,5.0,3.6,5.0,4.8
23,5ace82e135eccf0001a11c96,5d02c8fb0b54cc0019dad435,5c897696146e370001e063c9,q17,q17,q17,3.0,6.0,1.0,3.0,6.0,1.0
24,5d1cbebd56f8cf0015425d2a,5d19cf08a61758001a10f45d,5c4e7b34620ba700010c5dc6,q17,q17,q17,4.0,1.0,4.0,3.6,1.0,3.8
25,5b222aff59f9620001c109cb,5aa8890a35237b0001131ea3,5bdf91dbb32fa800012ea282,q17,q17,q17,3.0,4.0,5.0,3.4,4.2,5.0
26,5c65f80affc8240001bf6b8a,5bf70f0918430e000185be88,5cb8a8ac317b170001412c87,q17,q17,q17,3.0,4.0,5.0,2.8,4.0,5.0
27,5be385ba24f70e00018b0024,5c862845c2ceec001719a6bd,5d7f8ffae664ab001967d9d3,q17,q17,q17,4.0,2.0,4.0,4.0,2.4,5.4
28,5901cf755b40770001f29ca6,5c5c54c900b69200011bb9b2,5d3873197860c8001a106e02,q17,q17,q17,2.0,3.0,6.0,2.6,3.8,6.0
29,5c6244086937550001232ae6,578901354a84da00014c41cf,5da03c3607c83700140a3d8f,q17,q17,q17,5.0,5.0,3.0,5.0,4.8,3.2
30,5a23f9a9d6fdbc00011c9572,5c4196dae14431000107574d,5c5d821f82757f0001347ea4,q17,q17,q17,6.0,2.0,5.0,5.4,2.0,4.4
31,5b745aefcaefde0001f08744,5d4d038ec270cd001931da3e,59f8868e05d1d60001f1464d,q17,q17,q17,6.0,6.0,5.0,4.6,5.6,5.0
32,5d31b301d509220001684de5,5c5297ba1841c80001393988,5b0eedb316768100010f9023,q17,q17,q17,3.0,5.0,3.0,3.0,5.0,3.8
33,5769c881c8a90000010d9896,5d242f0f7e87460001593ce1,5cfd098ecfcee60001c251d6,q17,q17,q17,5.0,2.0,5.0,5.2,2.0,5.2
34,5d2eb5cf13d28c001ab7be8a,5932e2c8b97ad00001745487,5c13ea66afe26c00014d8f05,q17,q17,q17,1.0,5.0,1.0,1.4,4.8,1.8
35,5d4c07075736bc0018d3d811,5bef1fe8165b120001bb671e,5b5737d3afbff4000112d2f8,q17,q17,q17,6.0,6.0,6.0,6.0,5.2,6.0
36,5c52016a3146f80001d47b26,5c7c7e42f48c6d0016f6ff9d,5c6eb542045a21000126ab53,q17,q17,q17,2.0,3.0,4.0,2.0,4.0,4.0
37,5c95017e6357fb0012ef46c4,5c32116524d16c00015b106c,5d04c56a0b54cc0001dad608,q17,q17,q17,0.0,6.0,3.0,0.0,6.0,3.6
